Company Name,Social Links/LinkeIn,complaintsTotal,date,rating,reviewsTotal,totalClosedComplaintsPastThreeYears,totalClosedComplaintsPastTwelveMonths
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/24/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/23/23,2,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/19/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/11/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/10/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/9/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/9/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/8/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/7/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/1/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/27/23,2,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/19/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/18/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/13/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/13/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/12/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/10/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/31/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/30/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/15/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/11/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/10/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/7/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,2/28/23,1,254,1159,258
