Business Rating,Company Name,Contact,Social Links/youtube,Social Links/facebook,Social Links/twitter,date of review,rating,reviewsTotal,totalClosedComplaintsPastThreeYears,totalClosedComplaintsPastTwelveMonths
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,1/12/22,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,12/11/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,12/2/21,5,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,11/2/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,10/27/21,5,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,10/16/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,9/14/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,8/27/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,7/20/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,6/29/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,6/23/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,6/6/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,6/1/21,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,5/24/21,1,45,75,18
